Region,Cove,Otter_ID,Foraging_Success
North,Alpha,1,7.924930851
North,Alpha,1,8.764075353
North,Alpha,1,7.838948078
North,Alpha,1,9.437563983
North,Alpha,1,12.79737898
North,Alpha,1,10.35421414
North,Alpha,2,12.2886573
North,Alpha,2,11.50948057
North,Alpha,2,12.69692692
North,Alpha,2,9.97984774
North,Alpha,2,5.387843581
North,Alpha,2,11.83117983
North,Alpha,3,9.814227859
North,Alpha,3,8.985823103
North,Alpha,3,8.287023658
North,Alpha,3,8.265433492
North,Alpha,3,6.327821821
North,Alpha,3,11.68045741
North,Alpha,4,9.988426461
North,Alpha,4,9.744072751
North,Beta,4,11.32401922
North,Beta,4,15.76613565
North,Beta,4,11.16417188
North,Beta,4,7.928721783
North,Beta,5,7.878442369
North,Beta,5,8.83592756
North,Beta,5,7.809037762
North,Beta,5,8.049341722
North,Beta,5,14.01643175
North,Beta,5,9.355319566
North,Beta,6,9.61619625
North,Beta,6,13.04417887
North,Beta,6,11.04705243
North,Beta,6,5.486767068
North,Beta,6,10.488735
North,Beta,6,12.61610477
North,Beta,7,9.933910135
North,Beta,7,9.459178926
North,Beta,7,9.103868471
North,Beta,7,12.18176975
North,Gamma,7,9.673472919
North,Gamma,7,10.86723066
North,Gamma,8,11.14781123
North,Gamma,8,5.813052614
North,Gamma,8,5.954777527
North,Gamma,8,9.01504756
North,Gamma,8,11.76074016
North,Gamma,8,8.528544339
North,Gamma,9,9.961196291
North,Gamma,9,9.485186024
North,Gamma,9,8.930751759
North,Gamma,9,12.68269551
North,Gamma,9,8.898834107
North,Gamma,9,8.938370069
North,Gamma,10,9.097887823
North,Gamma,10,9.678661615
North,Gamma,10,12.16737172
North,Gamma,10,7.90543633
North,Gamma,10,9.080678161
North,Gamma,10,12.55513761
Central,Alpha,1,8.139312807
Central,Alpha,1,8.870149722
Central,Alpha,1,12.18469255
Central,Alpha,1,10.36599411
Central,Alpha,1,15.95227105
Central,Alpha,1,11.87610212
Central,Alpha,2,12.1174484
Central,Alpha,2,9.822065355
Central,Alpha,2,16.04101495
Central,Alpha,2,13.60670349
Central,Alpha,2,8.826549348
Central,Alpha,2,12.13718725
Central,Alpha,3,9.076166968
Central,Alpha,3,10.18864904
Central,Alpha,3,7.252480486
Central,Alpha,3,12.65120504
Central,Alpha,3,7.056545337
Central,Alpha,3,11.92899804
Central,Alpha,4,8.909220253
Central,Alpha,4,10.16733621
Central,Beta,4,8.739276849
Central,Beta,4,12.32016994
Central,Beta,4,11.06304248
Central,Beta,4,9.439109098
Central,Beta,5,9.211167272
Central,Beta,5,9.228635699
Central,Beta,5,8.216418281
Central,Beta,5,7.952329959
Central,Beta,5,7.279105787
Central,Beta,5,9.03668435
Central,Beta,6,9.435817281
Central,Beta,6,12.50790001
Central,Beta,6,4.589333053
Central,Beta,6,6.928407685
Central,Beta,6,6.412591891
Central,Beta,6,13.51902039
Central,Beta,7,12.34358337
Central,Beta,7,6.296177303
Central,Beta,7,8.835422426
Central,Beta,7,10.26447257
Central,Gamma,7,12.10601728
Central,Gamma,7,10.6772315
Central,Gamma,8,8.693642981
Central,Gamma,8,11.11649011
Central,Gamma,8,9.640986498
Central,Gamma,8,11.90298593
Central,Gamma,8,10.24339721
Central,Gamma,8,7.422685352
Central,Gamma,9,7.732585634
Central,Gamma,9,9.433769507
Central,Gamma,9,7.772431582
Central,Gamma,9,10.56515585
Central,Gamma,9,9.54913197
Central,Gamma,9,11.26786651
Central,Gamma,10,10.61859109
Central,Gamma,10,9.455663982
Central,Gamma,10,9.145269175
Central,Gamma,10,8.28672728
Central,Gamma,10,10.39758157
Central,Gamma,10,10.6242836
South,Alpha,1,9.011297722
South,Alpha,1,6.868031805
South,Alpha,1,8.576404636
South,Alpha,1,8.039227744
South,Alpha,1,6.764487655
South,Alpha,1,7.898796815
South,Alpha,2,0.81454046
South,Alpha,2,4.864748124
South,Alpha,2,5.540025143
South,Alpha,2,5.64643019
South,Alpha,2,4.708407747
South,Alpha,2,4.476163586
South,Alpha,3,5.388209895
South,Alpha,3,6.867636823
South,Alpha,3,2.858299929
South,Alpha,3,2.894901488
South,Alpha,3,7.524067782
South,Alpha,3,6.566882635
South,Alpha,4,7.207319174
South,Alpha,4,4.249514743
South,Beta,4,8.048672528
South,Beta,4,5.270522815
South,Beta,4,4.135003523
South,Beta,4,3.651661181
South,Beta,5,8.765345203
South,Beta,5,8.768661174
South,Beta,5,10.15134926
South,Beta,5,6.242055195
South,Beta,5,3.405593548
South,Beta,5,8.287419302
South,Beta,6,7.196609265
South,Beta,6,8.69432528
South,Beta,6,6.472219226
South,Beta,6,4.207315677
South,Beta,6,5.709559259
South,Beta,6,6.129532393
South,Beta,7,5.412058375
South,Beta,7,6.258978405
South,Beta,7,8.535164432
South,Beta,7,4.403178496
South,Gamma,7,8.39069803
South,Gamma,7,5.196771496
South,Gamma,8,3.024097006
South,Gamma,8,6.019396255
South,Gamma,8,2.683664026
South,Gamma,8,8.360448049
South,Gamma,8,4.457802927
South,Gamma,8,3.037990437
South,Gamma,9,3.588122911
South,Gamma,9,8.273016073
South,Gamma,9,7.732045723
South,Gamma,9,6.912801741
South,Gamma,9,8.745749432
South,Gamma,9,6.703884931
South,Gamma,10,6.431020677
South,Gamma,10,5.331782614
South,Gamma,10,6.363863594
South,Gamma,10,5.522258744
South,Gamma,10,9.51417312
South,Gamma,10,5.615176615
