Region,Cove,Otter_ID,Foraging_Success
North,Alpha,ID74,7.924930851
North,Alpha,ID26,8.764075353
North,Alpha,ID33,7.838948078
North,Alpha,ID10,9.437563983
North,Alpha,ID40,12.79737898
North,Alpha,ID82,10.35421414
North,Alpha,ID72,12.2886573
North,Alpha,ID60,11.50948057
North,Alpha,ID73,12.69692692
North,Alpha,ID31,9.97984774
North,Alpha,ID73,5.387843581
North,Alpha,ID62,11.83117983
North,Alpha,ID41,9.814227859
North,Alpha,ID8,8.985823103
North,Alpha,ID26,8.287023658
North,Alpha,ID69,8.265433492
North,Alpha,ID34,6.327821821
North,Alpha,ID16,11.68045741
North,Alpha,ID13,9.988426461
North,Alpha,ID57,9.744072751
North,Beta,ID67,11.32401922
North,Beta,ID34,15.76613565
North,Beta,ID31,11.16417188
North,Beta,ID16,7.928721783
North,Beta,ID37,7.878442369
North,Beta,ID82,8.83592756
North,Beta,ID45,7.809037762
North,Beta,ID5,8.049341722
North,Beta,ID27,14.01643175
North,Beta,ID26,9.355319566
North,Beta,ID85,9.61619625
North,Beta,ID87,13.04417887
North,Beta,ID66,11.04705243
North,Beta,ID64,5.486767068
North,Beta,ID22,10.488735
North,Beta,ID89,12.61610477
North,Beta,ID90,9.933910135
North,Beta,ID68,9.459178926
North,Beta,ID33,9.103868471
North,Beta,ID51,12.18176975
North,Gamma,ID47,9.673472919
North,Gamma,ID49,10.86723066
North,Gamma,ID40,11.14781123
North,Gamma,ID23,5.813052614
North,Gamma,ID1,5.954777527
North,Gamma,ID32,9.01504756
North,Gamma,ID36,11.76074016
North,Gamma,ID13,8.528544339
North,Gamma,ID39,9.961196291
North,Gamma,ID24,9.485186024
North,Gamma,ID80,8.930751759
North,Gamma,ID50,12.68269551
North,Gamma,ID25,8.898834107
North,Gamma,ID33,8.938370069
North,Gamma,ID64,9.097887823
North,Gamma,ID81,9.678661615
North,Gamma,ID51,12.16737172
North,Gamma,ID36,7.90543633
North,Gamma,ID14,9.080678161
North,Gamma,ID70,12.55513761
Central,Alpha,ID3,8.139312807
Central,Alpha,ID60,8.870149722
Central,Alpha,ID75,12.18469255
Central,Alpha,ID72,10.36599411
Central,Alpha,ID33,15.95227105
Central,Alpha,ID61,11.87610212
Central,Alpha,ID55,12.1174484
Central,Alpha,ID41,9.822065355
Central,Alpha,ID5,16.04101495
Central,Alpha,ID21,13.60670349
Central,Alpha,ID52,8.826549348
Central,Alpha,ID33,12.13718725
Central,Alpha,ID36,9.076166968
Central,Alpha,ID88,10.18864904
Central,Alpha,ID41,7.252480486
Central,Alpha,ID3,12.65120504
Central,Alpha,ID16,7.056545337
Central,Alpha,ID86,11.92899804
Central,Alpha,ID70,8.909220253
Central,Alpha,ID51,10.16733621
Central,Beta,ID73,8.739276849
Central,Beta,ID55,12.32016994
Central,Beta,ID61,11.06304248
Central,Beta,ID72,9.439109098
Central,Beta,ID53,9.211167272
Central,Beta,ID10,9.228635699
Central,Beta,ID85,8.216418281
Central,Beta,ID36,7.952329959
Central,Beta,ID15,7.279105787
Central,Beta,ID49,9.03668435
Central,Beta,ID51,9.435817281
Central,Beta,ID90,12.50790001
Central,Beta,ID19,4.589333053
Central,Beta,ID70,6.928407685
Central,Beta,ID68,6.412591891
Central,Beta,ID79,13.51902039
Central,Beta,ID10,12.34358337
Central,Beta,ID64,6.296177303
Central,Beta,ID89,8.835422426
Central,Beta,ID6,10.26447257
Central,Gamma,ID14,12.10601728
Central,Gamma,ID2,10.6772315
Central,Gamma,ID74,8.693642981
Central,Gamma,ID63,11.11649011
Central,Gamma,ID12,9.640986498
Central,Gamma,ID34,11.90298593
Central,Gamma,ID28,10.24339721
Central,Gamma,ID3,7.422685352
Central,Gamma,ID35,7.732585634
Central,Gamma,ID21,9.433769507
Central,Gamma,ID7,7.772431582
Central,Gamma,ID18,10.56515585
Central,Gamma,ID43,9.54913197
Central,Gamma,ID73,11.26786651
Central,Gamma,ID20,10.61859109
Central,Gamma,ID18,9.455663982
Central,Gamma,ID55,9.145269175
Central,Gamma,ID67,8.28672728
Central,Gamma,ID8,10.39758157
Central,Gamma,ID46,10.6242836
South,Alpha,ID26,9.011297722
South,Alpha,ID55,6.868031805
South,Alpha,ID6,8.576404636
South,Alpha,ID11,8.039227744
South,Alpha,ID83,6.764487655
South,Alpha,ID6,7.898796815
South,Alpha,ID72,0.81454046
South,Alpha,ID50,4.864748124
South,Alpha,ID2,5.540025143
South,Alpha,ID33,5.64643019
South,Alpha,ID3,4.708407747
South,Alpha,ID84,4.476163586
South,Alpha,ID50,5.388209895
South,Alpha,ID26,6.867636823
South,Alpha,ID42,2.858299929
South,Alpha,ID23,2.894901488
South,Alpha,ID72,7.524067782
South,Alpha,ID8,6.566882635
South,Alpha,ID8,7.207319174
South,Alpha,ID47,4.249514743
South,Beta,ID12,8.048672528
South,Beta,ID82,5.270522815
South,Beta,ID30,4.135003523
South,Beta,ID3,3.651661181
South,Beta,ID69,8.765345203
South,Beta,ID24,8.768661174
South,Beta,ID87,10.15134926
South,Beta,ID50,6.242055195
South,Beta,ID21,3.405593548
South,Beta,ID13,8.287419302
South,Beta,ID63,7.196609265
South,Beta,ID4,8.69432528
South,Beta,ID54,6.472219226
South,Beta,ID11,4.207315677
South,Beta,ID1,5.709559259
South,Beta,ID66,6.129532393
South,Beta,ID21,5.412058375
