Region,Cove,Otter_ID,Foraging_Success
North,Alpha,North_Alpha_0,7.548551207468158
North,Alpha,North_Alpha_1,10.116218272596704
North,Alpha,North_Alpha_2,8.534929903815984
North,Alpha,North_Alpha_3,9.73353943583709
North,Alpha,North_Alpha_4,11.765434903676507
North,Alpha,North_Alpha_5,9.32219770525478
North,Alpha,ReplicatedOtter_6,10.962908140402902
North,Alpha,North_Alpha_7,12.608009004886497
North,Alpha,North_Alpha_8,13.000271952420395
North,Alpha,ReplicatedOtter_9,10.604065473770788
North,Alpha,North_Alpha_10,3.9495970636558764
North,Alpha,North_Alpha_11,13.24090938528377
North,Alpha,North_Alpha_12,10.811555781109222
North,Alpha,North_Alpha_13,8.122840435495958
North,Alpha,North_Alpha_14,7.332498559804363
North,Alpha,North_Alpha_15,7.315647021966789
North,Alpha,North_Alpha_16,5.740548549613333
North,Alpha,North_Alpha_17,11.754726708050814
North,Alpha,North_Alpha_18,9.784261516755048
North,Alpha,North_Alpha_19,9.117760171327705
North,Beta,North_Beta_0,11.659577902027058
North,Beta,North_Beta_1,14.684617230198077
North,Beta,ReplicatedOtter_2,10.540605824094564
North,Beta,North_Beta_3,7.52780731315322
North,Beta,North_Beta_4,7.746652321204854
North,Beta,North_Beta_5,9.691455444411254
North,Beta,North_Beta_6,6.9080591081537595
North,Beta,North_Beta_7,8.092045037204361
North,Beta,North_Beta_8,14.293675457049037
North,Beta,North_Beta_9,7.994670803950658
North,Beta,North_Beta_10,9.938830805986937
North,Beta,North_Beta_11,12.055751243460126
North,Beta,North_Beta_12,9.742207205895818
North,Beta,North_Beta_13,6.833423679481951
North,Beta,North_Beta_14,11.885631100590105
North,Beta,North_Beta_15,13.541296811622114
North,Beta,North_Beta_16,9.347751442441924
North,Beta,North_Beta_17,8.252195268471326
North,Beta,North_Beta_18,9.656567550609479
North,Beta,North_Beta_19,12.002227227666989
North,Gamma,North_Gamma_0,8.539587623916947
North,Gamma,North_Gamma_1,10.852761393295408
North,Gamma,ReplicatedOtter_2,10.524245180159507
North,Gamma,North_Gamma_3,4.416218177478836
North,Gamma,North_Gamma_4,7.182738733715171
North,Gamma,North_Gamma_5,8.291387504771034
